datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/06/18 16:40:00,AQUA_M-T,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,8,0,-999,-22.8820,-43.5310,5.5
2020/06/20 16:30:00,AQUA_M-T,Brasil,RIO DE JANEIRO,BOM JARDIM,Mata Atlantica,5,0,0.5,-22.2530,-42.4080,8
2020/06/20 16:30:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,9,0,1,-22.7350,-43.7370,10.1
2020/06/22 16:15:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,11,0,1,-22.6870,-43.6700,16.1
2020/06/22 16:15:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SAO FRANCISCO DE ITABAPOANA,Mata Atlantica,18,0,1,-21.5370,-41.2010,17.2
2020/05/01 16:40:00,AQUA_M-T,Brasil,RIO DE JANEIRO,NILOPOLIS,Mata Atlantica,-999,0,1,-22.8340,-43.4570,10.1
2020/05/01 16:40:00,AQUA_M-T,Brasil,RIO DE JANEIRO,NILOPOLIS,Mata Atlantica,-999,0,1,-22.8330,-43.4470,7.4
2020/05/01 16:40:00,AQUA_M-T,Brasil,RIO DE JANEIRO,MAGE,Mata Atlantica,-999,0,0.9,-22.6470,-43.1730,7.3
2020/05/01 16:40:00,AQUA_M-T,Brasil,RIO DE JANEIRO,CARMO,Mata Atlantica,12,0,0.6,-21.8660,-42.5490,3.9
2020/05/01 16:40:00,AQUA_M-T,Brasil,RIO DE JANEIRO,PARAIBA DO SUL,Mata Atlantica,12,0,1,-22.2210,-43.2800,4.8
2020/05/01 16:40:00,AQUA_M-T,Brasil,RIO DE JANEIRO,PETROPOLIS,Mata Atlantica,12,0,0.5,-22.2690,-43.0370,14.9
2020/06/02 16:40:00,AQUA_M-T,Brasil,RIO DE JANEIRO,QUEIMADOS,Mata Atlantica,8,0,1,-22.7400,-43.5920,6.8
2020/06/02 16:40:00,AQUA_M-T,Brasil,RIO DE JANEIRO,QUEIMADOS,Mata Atlantica,8,0,1,-22.7470,-43.5850,4.7
2020/06/02 16:40:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,8,0,0.5,-22.8850,-42.6260,6.7
2020/06/13 16:20:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,2,0,1,-22.8410,-43.6850,10.9
2020/06/13 16:20:00,AQUA_M-T,Brasil,RIO DE JANEIRO,MARICA,Mata Atlantica,2,0,0.8,-22.8500,-42.7670,7.1
2020/06/13 16:20:00,AQUA_M-T,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,-999,0,0.5,-22.9170,-43.4450,15.2
2020/06/13 16:20:00,AQUA_M-T,Brasil,RIO DE JANEIRO,PIRAI,Mata Atlantica,4,0,1,-22.5950,-44.0250,11.1
2020/10/01 16:35:00,AQUA_M-T,Brasil,RIO DE JANEIRO,BOM JARDIM,Mata Atlantica,3,0,0.4,-22.2870,-42.3650,5.9
2020/10/01 16:35:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SAO FIDELIS,Mata Atlantica,3,0,0.4,-21.8430,-41.8910,26.4
2020/06/09 16:45:00,AQUA_M-T,Brasil,RIO DE JANEIRO,ITAGUAI,Mata Atlantica,2,0,0.8,-22.8940,-43.7810,5.7
2020/06/13 16:20:00,AQUA_M-T,Brasil,RIO DE JANEIRO,PIRAI,Mata Atlantica,3,0,0.8,-22.7590,-43.8610,14.1
2020/01/01 16:45:00,AQUA_M-T,Brasil,RIO DE JANEIRO,MARICA,Mata Atlantica,8,0,0.9,-22.9570,-42.9150,36.6
2020/01/01 16:45:00,AQUA_M-T,Brasil,RIO DE JANEIRO,MARICA,Mata Atlantica,8,0,1,-22.9520,-42.9220,12.4
2020/01/01 16:45:00,AQUA_M-T,Brasil,RIO DE JANEIRO,MARICA,Mata Atlantica,8,0,0.9,-22.9500,-42.9120,5.9
2020/01/01 16:45:00,AQUA_M-T,Brasil,RIO DE JANEIRO,MARICA,Mata Atlantica,8,0,0.9,-22.9590,-42.9250,7.8
2020/01/12 16:30:00,AQUA_M-T,Brasil,RIO DE JANEIRO,ITAPERUNA,Mata Atlantica,1,1,0.1,-21.2020,-41.9000,11.1
2020/01/10 16:40:00,AQUA_M-T,Brasil,RIO DE JANEIRO,TANGUA,Mata Atlantica,0,1.8,-999,-22.7330,-42.7220,6.3
2020/01/26 16:40:00,AQUA_M-T,Brasil,RIO DE JANEIRO,BARRA MANSA,Mata Atlantica,2,0,-999,-22.5150,-44.1980,8.1
2020/02/18 16:45:00,AQUA_M-T,Brasil,RIO DE JANEIRO,ITAGUAI,Mata Atlantica,-999,0,-999,-23.0530,-43.6910,6.8
2020/02/18 16:45:00,AQUA_M-T,Brasil,RIO DE JANEIRO,ANGRA DOS REIS,Mata Atlantica,6,0,-999,-23.0130,-44.5370,9.7
2020/02/20 16:35:00,AQUA_M-T,Brasil,RIO DE JANEIRO,ITABORAI,Mata Atlantica,3,0,0.3,-22.6640,-42.8970,20.9
2020/02/20 16:35:00,AQUA_M-T,Brasil,RIO DE JANEIRO,ITABORAI,Mata Atlantica,3,0,0.2,-22.6620,-42.8870,14.5
2020/02/20 16:35:00,AQUA_M-T,Brasil,RIO DE JANEIRO,BARRA MANSA,Mata Atlantica,0,3.1,-999,-22.5180,-44.1960,7
2020/02/20 16:35:00,AQUA_M-T,Brasil,RIO DE JANEIRO,PARAIBA DO SUL,Mata Atlantica,2,1.3,0.1,-22.2120,-43.2810,10.5
2020/02/20 16:35:00,AQUA_M-T,Brasil,RIO DE JANEIRO,PARAIBA DO SUL,Mata Atlantica,2,1.4,0.1,-22.2190,-43.2850,10.3
2020/02/20 16:35:00,AQUA_M-T,Brasil,RIO DE JANEIRO,PATY DO ALFERES,Mata Atlantica,3,1.3,0.1,-22.3200,-43.4030,11.2
2020/02/20 16:35:00,AQUA_M-T,Brasil,RIO DE JANEIRO,RESENDE,Mata Atlantica,0,0.2,0.1,-22.4410,-44.3830,12.5
2020/02/20 16:35:00,AQUA_M-T,Brasil,RIO DE JANEIRO,QUEIMADOS,Mata Atlantica,3,0,-999,-22.7080,-43.5610,12.5
2020/03/12 16:55:00,AQUA_M-T,Brasil,RIO DE JANEIRO,VALENCA,Mata Atlantica,4,0,0.4,-22.2050,-44.0060,7.6
2020/03/12 16:55:00,AQUA_M-T,Brasil,RIO DE JANEIRO,VALENCA,Mata Atlantica,4,0,0,-22.2030,-43.9950,8.2
2020/03/12 16:55:00,AQUA_M-T,Brasil,RIO DE JANEIRO,VALENCA,Mata Atlantica,4,0,0.3,-22.2070,-44.0000,19.4
2020/03/16 16:30:00,AQUA_M-T,Brasil,RIO DE JANEIRO,ANGRA DOS REIS,Mata Atlantica,7,0.8,-999,-23.0160,-44.5320,7.5
2020/03/14 16:40:00,AQUA_M-T,Brasil,RIO DE JANEIRO,VALENCA,Mata Atlantica,5,0,0.6,-22.0990,-43.6900,9.5
2020/03/27 16:10:00,AQUA_M-T,Brasil,RIO DE JANEIRO,CARAPEBUS,Mata Atlantica,7,0,0.5,-22.1980,-41.6030,14.9
2020/04/06 16:45:00,AQUA_M-T,Brasil,RIO DE JANEIRO,RIO BONITO,Mata Atlantica,6,0,1,-22.7560,-42.4600,5.3
2020/04/26 16:20:00,AQUA_M-T,Brasil,RIO DE JANEIRO,VASSOURAS,Mata Atlantica,7,0,0.8,-22.3190,-43.6030,8.3
2020/04/26 16:20:00,AQUA_M-T,Brasil,RIO DE JANEIRO,VASSOURAS,Mata Atlantica,7,0,0.9,-22.3170,-43.5880,19.4
2020/04/22 16:45:00,AQUA_M-T,Brasil,RIO DE JANEIRO,ITAGUAI,Mata Atlantica,3,0,1,-22.8520,-43.7440,6.6
2020/04/24 16:35:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,5,0,1,-22.8640,-42.4190,5.7
2020/04/24 16:35:00,AQUA_M-T,Brasil,RIO DE JANEIRO,NOVA IGUACU,Mata Atlantica,5,0,1,-22.7620,-43.5720,5.3
2020/04/24 16:35:00,AQUA_M-T,Brasil,RIO DE JANEIRO,BOM JARDIM,Mata Atlantica,5,0,0.4,-22.2920,-42.3390,6.4
2020/04/29 16:55:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,10,0,0.5,-22.7540,-43.7440,10.2
2020/04/29 16:55:00,AQUA_M-T,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,10,0,0.5,-22.8930,-43.7740,7.1
