Cd_Mun;Município;area_plantada_ha
1100015;Alta Floresta D'Oeste (RO);17787
1100023;Ariquemes (RO);11801
1100031;Cabixi (RO);46947
1100049;Cacoal (RO);15395
1100056;Cerejeiras (RO);67426
1100064;Colorado do Oeste (RO);5358
1100072;Corumbiara (RO);69127
1100080;Costa Marques (RO);1194
1100098;Espigão D'Oeste (RO);5298
1100106;Guajará-Mirim (RO);753
1100114;Jaru (RO);2752
1100122;Ji-Paraná (RO);818
1100130;Machadinho D'Oeste (RO);12915
1100148;Nova Brasilândia D'Oeste (RO);6664
1100155;Ouro Preto do Oeste (RO);1850
1100189;Pimenta Bueno (RO);1987
1100205;Porto Velho (RO);54583
1100254;Presidente Médici (RO);1205
1100262;Rio Crespo (RO);25825
1100288;Rolim de Moura (RO);5659
1100296;Santa Luzia D'Oeste (RO);3054
1100304;Vilhena (RO);77353
1100320;São Miguel do Guaporé (RO);31385
1100338;Nova Mamoré (RO);5079
1100346;Alvorada D'Oeste (RO);2370
1100379;Alto Alegre dos Parecis (RO);23100
1100403;Alto Paraíso (RO);30588
1100452;Buritis (RO);7498
1100502;Novo Horizonte do Oeste (RO);4715
1100601;Cacaulândia (RO);1072
1100700;Campo Novo de Rondônia (RO);2491
1100809;Candeias do Jamari (RO);10553
1100908;Castanheiras (RO);4329
1100924;Chupinguaia (RO);54232
1100940;Cujubim (RO);20006
1101005;Governador Jorge Teixeira (RO);1718
1101104;Itapuã do Oeste (RO);4955
1101203;Ministro Andreazza (RO);6275
1101302;Mirante da Serra (RO);2816
1101401;Monte Negro (RO);1163
1101435;Nova União (RO);1195
1101450;Parecis (RO);2523
1101468;Pimenteiras do Oeste (RO);64414
1101476;Primavera de Rondônia (RO);550
1101484;São Felipe D'Oeste (RO);1822
1101492;São Francisco do Guaporé (RO);5093
1101500;Seringueiras (RO);7113
1101559;Teixeirópolis (RO);321
1101609;Theobroma (RO);3480
1101708;Urupá (RO);728
1101757;Vale do Anari (RO);2897
1101807;Vale do Paraíso (RO);658
1200013;Acrelândia (AC);4358
1200054;Assis Brasil (AC);1739
1200104;Brasiléia (AC);3413
1200138;Bujari (AC);3254
1200179;Capixaba (AC);4323
1200203;Cruzeiro do Sul (AC);4757
1200252;Epitaciolândia (AC);2906
1200302;Feijó (AC);7069
1200328;Jordão (AC);1289
1200336;Mâncio Lima (AC);3396
